row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
135;Cowan, Maurice;30183;40177;0
136;Goldstein, Jeffrey H.;30184;40178;60060
137;McGhee, Paul E.;30185;40178;60060
138;Klapp, O. E.;30186;40179;0
139;Quindlan, Anna;30187;40180;60061
140;Freud, Anna;30188;40181;0
141;Lippard, Lucy R.;30189;40182;0
142;Bourgeois, Louise;30190;40183;0
143;Rich, Adrienne;30191;40184;60062
144;The Catalogue Comittee of Artists Meeting for Cultural Change;30192;40185;0
145;no name;11232;40186;60063
146;Brown, Rita Mae;30193;40187;60064
147;Small, Margaret;30194;40188;60065
148;Weil, Simone;30195;40189;0
149;Arendt, Hannah;30196;40190;0
150;Kelly-Gadol, Joan;30197;40191;60066
151;Weil, Simone;30195;40192;0
152;H. D.;30198;40193;0
153;Woolf, Virginia;30199;40194;0
154;no name;30200;40195;0
155;Woolf, Virginia;30199;40196;0
156;Weil, Simone;30195;40197;0
157;Boserup, E.;30201;40198;0
158;Claiborne, C.;30202;40199;60067
159;Foster, G.;30203;40200;0
160;Friedlander, Judith;30204;40201;0
161;Martinez-Marin, C.;30205;40202;0
162;Schneider, D.;30206;40203;0
163;Soustelle, J.;30207;40204;0
164;Firestone, Shulamith;30208;40205;0
165;Sand, George;30209;40206;0
166;Akerman, Chantal;30210;40207;60068
167;Stefan, Verena;30211;40208;0
168;Lippard, Lucy R.;30189;40209;60069
169;Grafe, Frieda;30212;40210;60070
170;Plath, Sylvia;30213;40211;0
171;Woolf, Virginia;30199;40212;60071
172;Richardson, Dorothy;30214;40213;0
173;Murstein, Bernard;30215;40214;0
174;O'Faolain, Julia (Editor);30018;40001;0
175;Martines, Lauro (Editor);30019;40001;0
176;Taylor, Henry Osborn;30216;40215;60072
177;Baring-Gould, Sabine;30217;40216;0
178;Attwater, Donald;30218;40217;0
179;Ellis, Havelock;30219;40218;60073
180;Wright, F. A. (Translator);30220;40219;0
181;Sontag, Susan;30221;40220;60074
182;no name;30222;40221;0
183;no name;30223;40222;60075
184;Chaucer, Geoffrey;30224;40223;0
185;Boccaccio, Giovanni;30225;40224;0
186;Tolstoy, Leo;30226;40225;0
187;Bridges, Gwendolyn;30227;40226;0
188;Utter, Robert;30228;40226;0
189;Bloch, Iwan;30229;40227;0
190;no name;30230;40228;60076
191;Ruskin, John;30231;40229;60077
192;De Stael, Germaine;30232;40230;60078
193;Benjamin, Walter;30233;40231;0
194;Morris, Ivan;30234;40232;0
195;Shonagon, Sei;30235;40233;0
196;Shikibu, Murasaki;30236;40234;0
197;Keene, Donald;30237;40235;60079
198;Tyler, Parker;30238;40236;60080
199;Hall, J. W.;30239;40237;0
200;Keene, Donald;30237;40238;0
201;Sansom, G. B.;30240;40239;0
202;Cambria, Adele;30269;40262;0
203;Gramsci, Antonio;30270;40263;0
204;Hoare, Quintin (Editor);30271;40264;0
205;Nowell, Geoffrey (Editor);30272;40264;0
206;Gramsci, Antonio;30270;40265;0
207;Gramsci, Antonio;30270;40266;0
208;Eco, Umberto;30273;40267;0
209;Heath, Stephen;30274;40268;60095
210;Kollontai, Aleksandra;30139;40269;0
211;Kollontai, Aleksandra;30139;40270;0
212;Eco, Umberto;30273;40271;0
213;Bettetini, Gianfranco;30275;40272;0
214;Maraini, Dacia;30276;40273;60096
215;Hjelmslev, Louis;30277;40274;0
216;Bovenschen, Silvia;30252;40251;60085
217;Gayle, Rubin;30278;40275;60027
218;Anderson, Johannes C.;30290;40296;0
219;Averkieva, Julia;30291;40297;60108
220;Benedict, Ruth;30292;40298;0
221;Bird, J.;30293;40299;60109
222;Bird, J.;30293;40300;0
223;Bellinger, L.;30294;40300;0
224;Boas, Franz;30295;40301;0
225;Chaplin, D.;30296;40302;0
226;Cowan, James;30297;40303;0
227;Cowan, James;30297;40304;0
228;Denney, G.;30298;40305;0
229;Osborne, C.;30299;40305;0
230;Burnham, Jack;30300;40306;0
231;Dockstadter, Frederick J.;30301;40307;60110
232;Drucker, Philip;30302;40308;0
233;Fiske, P. L. (Editor);30303;40309;0
234;Fraser, Douglas;30304;40310;0
235;Gayton, A. H.;30305;40311;60111
236;Goldwater, Robert;30306;40312;0
237;Harris, Ann Sutherland;30307;40313;0
238;Nochlin, Linda;30308;40313;0
239;Heuer, Berys;30309;40314;0
